Round 1 | Val Acc: 0.6512
Round 2 | Val Acc: 0.6508
Round 3 | Val Acc: 0.6774
Round 4 | Val Acc: 0.6808
Round 5 | Val Acc: 0.6840
Round 6 | Val Acc: 0.6936
Round 7 | Val Acc: 0.7008
Round 8 | Val Acc: 0.7068
Round 9 | Val Acc: 0.7082
Round 10 | Val Acc: 0.7154
Round 11 | Val Acc: 0.7086
Round 12 | Val Acc: 0.7174
Round 13 | Val Acc: 0.7192
Round 14 | Val Acc: 0.7204
Round 15 | Val Acc: 0.7178
Round 16 | Val Acc: 0.7290
Round 17 | Val Acc: 0.7278
Round 18 | Val Acc: 0.7268
Round 19 | Val Acc: 0.7312
Round 20 | Val Acc: 0.7302
Round 21 | Val Acc: 0.7324
Round 22 | Val Acc: 0.7332
Round 23 | Val Acc: 0.7322
Round 24 | Val Acc: 0.7332
Round 25 | Val Acc: 0.7330
