Round 1 | Val Acc: 0.8692
Round 2 | Val Acc: 0.8500
Round 3 | Val Acc: 0.8348
Round 4 | Val Acc: 0.8328
Round 5 | Val Acc: 0.8460
Round 6 | Val Acc: 0.8402
Round 7 | Val Acc: 0.8350
Round 8 | Val Acc: 0.8380
Round 9 | Val Acc: 0.8158
Round 10 | Val Acc: 0.8156
Round 11 | Val Acc: 0.8184
Round 12 | Val Acc: 0.8498
Round 13 | Val Acc: 0.8382
Round 14 | Val Acc: 0.8266
Round 15 | Val Acc: 0.8416
Round 16 | Val Acc: 0.8238
Round 17 | Val Acc: 0.8240
Round 18 | Val Acc: 0.8414
Round 19 | Val Acc: 0.8326
Round 20 | Val Acc: 0.8038
