Round 1 | Val Acc: 0.8384
Round 2 | Val Acc: 0.8300
Round 3 | Val Acc: 0.8244
Round 4 | Val Acc: 0.8248
Round 5 | Val Acc: 0.8192
Round 6 | Val Acc: 0.8244
Round 7 | Val Acc: 0.8248
Round 8 | Val Acc: 0.8270
Round 9 | Val Acc: 0.8356
Round 10 | Val Acc: 0.8164
Round 11 | Val Acc: 0.8292
Round 12 | Val Acc: 0.8170
Round 13 | Val Acc: 0.8186
Round 14 | Val Acc: 0.8042
Round 15 | Val Acc: 0.7988
Round 16 | Val Acc: 0.8044
Round 17 | Val Acc: 0.8230
Round 18 | Val Acc: 0.8160
Round 19 | Val Acc: 0.8180
Round 20 | Val Acc: 0.8134
