Round 1 | Val Acc: 0.8714
Round 2 | Val Acc: 0.8784
Round 3 | Val Acc: 0.8762
Round 4 | Val Acc: 0.8724
Round 5 | Val Acc: 0.8806
Round 6 | Val Acc: 0.8650
Round 7 | Val Acc: 0.8660
Round 8 | Val Acc: 0.8676
Round 9 | Val Acc: 0.8690
Round 10 | Val Acc: 0.8700
Round 11 | Val Acc: 0.8660
Round 12 | Val Acc: 0.8720
Round 13 | Val Acc: 0.8672
Round 14 | Val Acc: 0.8652
Round 15 | Val Acc: 0.8472
Round 16 | Val Acc: 0.8608
Round 17 | Val Acc: 0.8636
Round 18 | Val Acc: 0.8708
Round 19 | Val Acc: 0.8696
Round 20 | Val Acc: 0.8690
