Round 1 | Val Acc: 0.8680
Round 2 | Val Acc: 0.8514
Round 3 | Val Acc: 0.8568
Round 4 | Val Acc: 0.8544
Round 5 | Val Acc: 0.8218
Round 6 | Val Acc: 0.8304
Round 7 | Val Acc: 0.8304
Round 8 | Val Acc: 0.8214
Round 9 | Val Acc: 0.8400
Round 10 | Val Acc: 0.8454
Round 11 | Val Acc: 0.8330
Round 12 | Val Acc: 0.8532
Round 13 | Val Acc: 0.8376
Round 14 | Val Acc: 0.8338
Round 15 | Val Acc: 0.8072
Round 16 | Val Acc: 0.8340
Round 17 | Val Acc: 0.8472
Round 18 | Val Acc: 0.8284
Round 19 | Val Acc: 0.8186
Round 20 | Val Acc: 0.8218
Round 1 | Val Acc: 0.8326
