Round 1 | Val Acc: 0.8444
Round 2 | Val Acc: 0.8308
Round 3 | Val Acc: 0.8288
Round 4 | Val Acc: 0.8470
Round 5 | Val Acc: 0.8478
Round 6 | Val Acc: 0.8318
Round 7 | Val Acc: 0.8134
Round 8 | Val Acc: 0.8060
Round 9 | Val Acc: 0.8194
Round 10 | Val Acc: 0.8188
Round 1 | Val Acc: 0.8580
Round 2 | Val Acc: 0.8416
Round 3 | Val Acc: 0.8272
Round 4 | Val Acc: 0.8380
Round 5 | Val Acc: 0.8410
Round 6 | Val Acc: 0.8298
Round 7 | Val Acc: 0.8280
Round 8 | Val Acc: 0.8398
Round 9 | Val Acc: 0.8310
Round 10 | Val Acc: 0.8334
Round 11 | Val Acc: 0.8130
Round 12 | Val Acc: 0.8102
Round 13 | Val Acc: 0.8240
Round 14 | Val Acc: 0.8196
Round 15 | Val Acc: 0.8100
Round 16 | Val Acc: 0.8112
Round 17 | Val Acc: 0.8108
Round 18 | Val Acc: 0.8210
Round 19 | Val Acc: 0.8134
Round 20 | Val Acc: 0.8168
