Round 1 | Val Acc: 78.4711
Round 2 | Val Acc: 77.9422
Round 3 | Val Acc: 78.2556
Round 4 | Val Acc: 79.4089
Round 5 | Val Acc: 79.6289
Round 6 | Val Acc: 79.8889
Round 7 | Val Acc: 80.4044
Round 8 | Val Acc: 80.8222
Round 9 | Val Acc: 80.8356
Round 10 | Val Acc: 81.5244
Round 11 | Val Acc: 81.7400
Round 12 | Val Acc: 81.5356
Round 13 | Val Acc: 81.9600
Round 14 | Val Acc: 82.2622
Round 15 | Val Acc: 82.3756
Round 16 | Val Acc: 82.4978
Round 17 | Val Acc: 82.6778
Round 18 | Val Acc: 82.7156
Round 19 | Val Acc: 82.9667
Round 20 | Val Acc: 83.2689
Round 21 | Val Acc: 83.6578
Round 22 | Val Acc: 83.4178
Round 23 | Val Acc: 83.6000
Round 24 | Val Acc: 83.8667
Round 25 | Val Acc: 84.1844
